store_ID,day_of_week,nb_customers_on_day,open,promotion,state_holiday,school_holiday,day,month,year,saless
415,7,0,0,0,0,0,1,3,2015,0.0
27,7,0,0,0,0,0,29,12,2013,0.0
404,3,657,1,1,0,0,19,3,2014,6476.85
683,2,862,1,0,0,0,29,1,2013,7788.7
920,3,591,1,1,0,0,19,3,2014,5715.23
758,4,569,1,0,0,0,26,6,2014,4571.9
563,1,321,1,1,0,0,16,2,2015,3968.54
930,6,1367,1,0,0,0,22,11,2014,7561.99
756,4,0,0,1,1,0,4,6,2015,0.0
49,2,546,1,1,0,0,13,1,2015,7572.17
787,4,968,1,0,0,1,23,7,2015,8332.54
782,4,472,1,0,0,0,19,9,2013,4366.5
897,7,0,0,0,0,0,20,4,2014,0.0
933,1,965,1,0,0,0,9,12,2013,8567.82
218,2,804,1,0,0,1,7,4,2015,6689.71
554,3,499,1,1,0,1,9,10,2013,4117.35
362,1,1337,1,1,0,1,12,8,2013,12198.17
655,3,560,1,0,0,0,9,4,2014,5230.6
785,3,461,1,0,0,1,31,12,2014,4330.84
690,3,866,1,1,0,0,19,3,2014,7171.17
1103,7,0,0,0,0,0,15,2,2015,0.0
431,1,1367,1,1,0,0,2,6,2014,14243.6
127,2,642,1,1,0,0,24,9,2013,6663.71
579,5,0,0,1,2,1,29,3,2013,0.0
248,6,1139,1,0,0,0,3,8,2013,8478.96
962,6,0,0,0,0,0,11,1,2014,0.0
224,2,515,1,1,0,1,26,3,2013,5994.49
208,3,355,1,1,0,1,19,6,2013,2836.7
401,1,1063,1,1,0,0,30,3,2015,12582.0
503,7,0,0,0,0,0,29,9,2013,0.0
221,4,562,1,1,0,0,5,3,2015,5988.31
268,7,0,0,0,0,0,2,11,2014,0.0
799,2,927,1,1,0,1,27,8,2013,10030.21
260,6,894,1,0,0,0,25,10,2014,6677.76
1041,2,594,1,0,0,0,10,3,2015,5082.31
350,2,533,1,1,0,0,18,6,2013,6810.95
286,7,0,0,0,0,0,5,4,2015,0.0
620,2,709,1,1,0,0,4,6,2013,7820.23
521,1,484,1,1,0,0,17,6,2013,6342.67
649,4,435,1,1,0,0,27,11,2014,4445.77
1059,2,1239,1,1,0,0,2,6,2015,10462.54
486,6,373,1,0,0,0,28,6,2014,3067.03
252,4,642,1,0,0,0,17,10,2013,7378.14
656,3,421,1,1,0,0,15,5,2013,3687.72
642,5,394,1,0,0,0,12,9,2014,2974.59
655,5,761,1,1,0,0,8,5,2015,8748.33
992,3,627,1,0,0,0,26,6,2013,4986.55
143,2,731,1,1,0,0,2,6,2015,8375.24
421,5,941,1,1,0,1,18,7,2014,8766.24
246,4,1157,1,1,0,0,2,10,2014,9365.58
960,1,720,1,1,0,0,28,4,2014,8081.81
313,5,697,1,0,0,0,17,1,2014,6665.53
291,6,534,1,0,0,0,29,6,2013,5445.36
924,6,333,1,0,0,0,31,5,2014,3263.86
337,2,430,1,1,0,1,13,8,2013,5891.78
1024,4,607,1,0,0,0,12,3,2015,4603.24
56,3,402,1,1,0,0,22,1,2014,6119.06
507,3,532,1,0,0,0,9,4,2014,5783.76
970,5,406,1,0,0,0,15,3,2013,3214.09
846,2,828,1,0,0,0,23,6,2015,6842.51
549,3,582,1,0,0,0,27,8,2014,4969.62
1095,4,852,1,1,0,1,28,3,2013,8429.11
859,5,709,1,1,0,0,12,4,2013,6693.93
914,2,1178,1,1,0,1,29,7,2014,10255.51
888,2,634,1,0,0,0,23,6,2015,5860.72
442,2,517,1,1,0,0,4,11,2014,5784.97
34,6,905,1,0,0,0,9,3,2013,7179.06
199,4,581,1,0,0,0,10,7,2014,6033.69
854,4,657,1,1,1,0,4,6,2015,6796.7
611,2,485,1,1,0,0,21,1,2014,5807.58
808,4,528,1,0,0,1,9,4,2015,5096.5
1105,4,410,1,0,0,0,22,1,2015,4169.67
866,5,445,1,0,0,0,24,4,2015,5113.96
222,6,367,1,0,0,0,28,9,2013,3202.8
476,2,753,1,1,0,0,24,9,2013,6964.19
800,1,494,1,0,0,0,26,5,2014,4589.37
330,1,408,1,0,0,0,24,3,2014,3445.98
507,3,648,1,1,0,0,7,1,2015,7708.84
98,7,0,0,0,0,0,2,6,2013,0.0
1026,2,1044,1,0,0,0,28,1,2014,7278.73
990,5,719,1,0,0,0,4,10,2013,6408.35
8,6,345,1,0,0,0,10,1,2015,3026.86
611,3,566,1,1,0,1,31,7,2013,5823.69
257,2,777,1,1,0,0,13,8,2013,7175.25
840,4,1189,1,1,0,0,16,4,2015,8564.52
848,5,998,1,1,0,1,31,7,2015,10141.87
124,6,297,1,0,0,0,12,7,2014,2495.3
1028,2,438,1,0,0,1,31,12,2013,3622.39
95,2,1099,1,1,0,0,24,9,2013,9674.65
208,1,323,1,0,0,0,28,10,2013,2125.54
249,2,449,1,0,0,0,8,7,2014,3899.61
887,3,614,1,1,0,0,20,3,2013,6858.39
73,1,601,1,1,0,1,28,4,2014,6639.77
13,4,501,1,1,0,1,2,4,2015,5558.22
1049,2,580,1,0,0,1,3,9,2013,3687.54
144,4,769,1,1,0,0,5,2,2015,8479.78
847,3,1018,1,1,0,1,14,8,2013,7521.25
796,3,717,1,0,0,0,8,5,2013,6750.41
396,4,1139,1,0,0,0,11,6,2015,9145.63
1080,7,0,0,0,0,0,15,9,2013,0.0
675,5,338,1,0,0,0,26,9,2014,2886.6
1099,1,1236,1,1,0,0,1,12,2014,11633.52
791,1,858,1,0,0,0,11,5,2015,7482.7
1014,2,1476,1,0,0,0,24,3,2015,11964.07
487,2,737,1,1,0,0,4,11,2014,8394.51
427,3,701,1,0,0,1,13,2,2013,5726.81
254,5,282,1,1,0,0,14,11,2014,3421.41
43,5,710,1,0,0,0,31,1,2014,7144.71
1074,2,421,1,0,0,0,9,6,2015,4641.33
549,6,380,1,0,0,0,29,6,2013,3472.41
1095,2,720,1,1,0,0,8,1,2013,5892.26
295,1,612,1,0,0,1,28,10,2013,4803.19
319,1,863,1,0,0,1,14,10,2013,7065.66
1002,4,642,1,0,0,0,10,4,2014,5125.54
448,6,544,1,0,0,0,6,12,2014,6037.1
527,2,1046,1,0,0,1,3,9,2013,10401.99
255,5,652,1,1,0,0,12,4,2013,5760.44
581,5,651,1,1,0,0,4,7,2014,6091.98
185,6,550,1,0,0,0,5,1,2013,5930.11
244,6,538,1,0,0,0,22,11,2014,5822.34
1082,6,877,1,0,0,0,5,1,2013,6342.32
216,5,837,1,1,0,0,20,3,2015,8603.83
350,4,508,1,1,0,0,5,3,2015,6363.87
748,1,822,1,1,0,0,31,3,2014,9715.41
718,1,962,1,0,0,0,8,12,2014,8201.52
739,5,789,1,1,0,0,21,2,2014,9018.28
614,7,0,0,0,0,0,21,12,2014,0.0
